genes	Goterms	Annotation GO Category
A0A1H6Q1C6	basic amino acid transmembrane export from vacuole	Biological Process
A0A1H6Q1C6	integral component of fungal-type vacuolar membrane	Cellular Component
A0A1D8NFT9		
A0A1D8NPR7		
A0A1D8NCA6	integral component of membrane	Cellular Component
A0A1D8N3E2	vacuole inheritance	Biological Process
A0A1D8N3E2	cytosol	Cellular Component
A0A1D8N3E2	Golgi to endosome transport	Biological Process
A0A1D8N3E2	Golgi to vacuole transport	Biological Process
A0A1D8N3E2	endocytosis	Biological Process
A0A1D8N3E2	cytoplasmic side of endosome membrane	Cellular Component
A0A1D8N3E2	Rab GTPase binding	Molecular Function
A0A1D8N3E2	endosomal vesicle fusion	Biological Process
A0A1D8N3E2	metal ion binding	Molecular Function
A0A1D8N3L1		
A0A1D8N7W6	double-strand break repair via homologous recombination	Biological Process
A0A1D8N7W6	DNA double-strand break processing	Biological Process
A0A1D8N7W6	endonuclease activity	Molecular Function
A0A1D8N7W6	deoxyribonuclease activity	Molecular Function
A0A1D8N7W6	reciprocal meiotic recombination	Biological Process
A0A1D8N7W6	3'-5' exonuclease activity	Molecular Function
A0A1D8N7W6	membrane	Cellular Component
A0A1D8N7W6	manganese ion binding	Molecular Function
A0A1D8N7W6	Mre11 complex	Cellular Component
A0A1D8N7W6	meiotic DNA double-strand break formation	Biological Process
A0A1D8N7W6	telomeric DNA binding	Molecular Function
A0A1D8N7W6	chromosomal part	Cellular Component
A0A1D8N7W6	regulation of cellular process	Biological Process
A0A1D8N7W6	chromosome organization	Biological Process
A0A1D8NIQ2	pheromone-dependent signal transduction involved in conjugation with cellular fusion	Biological Process
A0A1D8NIQ2	mating pheromone activity	Molecular Function
A0A1D8NIQ2	extracellular region	Cellular Component
A0A1D8NIQ2	mating	Biological Process
A0A1H6PHK7	nucleus	Cellular Component
A0A1H6PHK7	DNA replication	Biological Process
A0A1D8N499		
A0A1D8NNQ7	mitochondrion inheritance	Biological Process
A0A1D8NNQ7	chronological cell aging	Biological Process
A0A1D8NNQ7	GTPase activity	Molecular Function
A0A1D8NNQ7	GTP binding	Molecular Function
A0A1D8NNQ7	mitochondrial outer membrane	Cellular Component
A0A1D8NNQ7	peroxisome	Cellular Component
A0A1D8NNQ7	cytosol	Cellular Component
A0A1D8NNQ7	vesicle organization	Biological Process
A0A1D8NNQ7	macroautophagy	Biological Process
A0A1D8NNQ7	peroxisome fission	Biological Process
A0A1D8NNQ7	cell division site	Cellular Component
A0A1D8NNQ7	"establishment of mitochondrion localization, microtubule-mediated"	Biological Process
A0A1D8NNQ7	protein homodimerization activity	Molecular Function
A0A1D8NNQ7	protein homooligomerization	Biological Process
A0A1D8NNQ7	mitochondrial membrane fission	Biological Process
A0A1D8N5A5	integral component of membrane	Cellular Component
A0A1D8NJP2		
A0A1H6PV03	3-hydroxyisobutyryl-CoA hydrolase activity	Molecular Function
A0A1H6PV03	mitochondrion	Cellular Component
A0A1H6PV03	valine catabolic process	Biological Process
A0A1D8N7M0	mitochondrial RNA 5'-end processing	Biological Process
A0A1D8N7M0	mitochondrial envelope	Cellular Component
A0A1D8N7M0	regulation of mRNA stability	Biological Process
A0A1D8NAI5	carbohydrate:proton symporter activity	Molecular Function
A0A1D8NAI5	glucose transmembrane transporter activity	Molecular Function
A0A1D8NAI5	integral component of membrane	Cellular Component
A0A1D8NAI5	glucose import	Biological Process
A0A1D8NIL8	lysophospholipase activity	Molecular Function
A0A1D8NIL8	phospholipid catabolic process	Biological Process
A0A1D8NIL8	membrane	Cellular Component
A0A1D8NJ50		
A0A1D8NLQ1	nucleolus	Cellular Component
A0A1D8NLQ1	actin filament binding	Molecular Function
A0A1D8NLQ1	striated muscle dense body	Cellular Component
A0A1D8NLQ1	catalytic step 2 spliceosome	Cellular Component
A0A1D8NCK7		
A0A1D8N4V3	magnesium ion binding	Molecular Function
A0A1D8N4V3	nucleic acid binding	Molecular Function
A0A1D8N4V3	RNA-DNA hybrid ribonuclease activity	Molecular Function
A0A1D8N4V3	nucleus	Cellular Component
A0A1D8N4V3	"DNA replication, removal of RNA primer"	Biological Process
A0A1D8N4V3	"RNA phosphodiester bond hydrolysis, endonucleolytic"	Biological Process
A0A1D8N5W6		
A0A1D8NBQ2	endoplasmic reticulum membrane	Cellular Component
A0A1D8NBQ2	integral component of membrane	Cellular Component
A0A1D8NLI4	protein binding	Molecular Function
A0A1D8NLI4	cellular bud neck	Cellular Component
A0A1D8NLI4	cytoskeleton organization	Biological Process
A0A1D8NLI4	cell cortex part	Cellular Component
A0A1D8NLZ4		
A0A1D8NM86	DNA damage checkpoint	Biological Process
A0A1D8NM86	damaged DNA binding	Molecular Function
A0A1D8NM86	DNA repair	Biological Process
A0A1D8NM86	checkpoint clamp complex	Cellular Component
A0A1D8N4S0	catalytic activity	Molecular Function
A0A1D8N4S0	metabolic process	Biological Process
A0A1D8NQR7	mitochondrial inner membrane	Cellular Component
A0A1D8NQR7	integral component of membrane	Cellular Component
A0A1D8NMD2		
A0A1D8N5U3	GARP complex	Cellular Component
A0A1D8N5U3	cytosol	Cellular Component
A0A1D8N5U3	Golgi organization	Biological Process
A0A1D8N5U3	integral component of membrane	Cellular Component
A0A1D8N5U3	endocytic recycling	Biological Process
A0A1D8N5U3	"retrograde transport, endosome to Golgi"	Biological Process
A0A1D8N5U3	Golgi vesicle transport	Biological Process
A0A1D8N5U3	EARP complex	Cellular Component
A0A1D8NIL6		
A0A1D8ND58		
A0A1D8NME9	GTPase activity	Molecular Function
A0A1D8NME9	calcium ion binding	Molecular Function
A0A1D8NME9	GTP binding	Molecular Function
A0A1D8NME9	mitochondrion organization	Biological Process
A0A1D8NME9	integral component of mitochondrial outer membrane	Cellular Component
A0A1D8NME9	organelle localization	Biological Process
A0A1D8NME9	biological regulation	Biological Process
A0A1D8NMW7	protein serine/threonine kinase activity	Molecular Function
A0A1D8NMW7	ATP binding	Molecular Function
A0A1D8NMW7	nucleus	Cellular Component
A0A1D8NMW7	cytoplasm	Cellular Component
A0A1D8NMW7	protein phosphorylation	Biological Process
A0A1D8NMW7	intracellular signal transduction	Biological Process
A0A1D8NML7		
A0A1D8NPM4	cytogamy	Biological Process
A0A1D8NPM4	GTPase activity	Molecular Function
A0A1D8NPM4	GTP binding	Molecular Function
A0A1D8NPM4	intracellular	Cellular Component
A0A1D8NPM4	plasma membrane	Cellular Component
A0A1D8NPM4	cellular bud neck	Cellular Component
A0A1D8NPM4	axial cellular bud site selection	Biological Process
A0A1D8NPM4	bipolar cellular bud site selection	Biological Process
A0A1D8NPM4	small GTPase mediated signal transduction	Biological Process
A0A1D8NPM4	maintenance of protein location in cell	Biological Process
A0A1D8NJV7	cytoplasm	Cellular Component
A0A1D8NJV7	integral component of membrane	Cellular Component
A0A1H6PR34		
A0A1D8NN32		
A0A1D8NI94	U4/U6 x U5 tri-snRNP complex	Cellular Component
A0A1D8NI94	precatalytic spliceosome	Cellular Component
A0A1H6PUJ3	ribosomal large subunit assembly	Biological Process
A0A1H6PUJ3	structural constituent of ribosome	Molecular Function
A0A1H6PUJ3	mitochondrial large ribosomal subunit	Cellular Component
A0A1H6PUJ3	translation	Biological Process
A0A1H6PUJ3	rRNA binding	Molecular Function
A0A1D8NFV1	oxygen-dependent protoporphyrinogen oxidase activity	Molecular Function
A0A1D8NFV1	protoporphyrinogen IX biosynthetic process	Biological Process
A0A1D8NFV1	integral component of membrane	Cellular Component
A0A1D8NFV1	oxidation-reduction process	Biological Process
A0A1D8NBK6	amino acid transmembrane transport	Biological Process
A0A1D8NBK6	endosome	Cellular Component
A0A1D8NBK6	plasma membrane	Cellular Component
A0A1D8NBK6	cation transport	Biological Process
A0A1D8NBK6	cation transmembrane transporter activity	Molecular Function
A0A1D8NBK6	L-amino acid transmembrane transporter activity	Molecular Function
A0A1D8NBK6	drug transmembrane transporter activity	Molecular Function
A0A1D8NBK6	polyamine transport	Biological Process
A0A1D8NBK6	integral component of membrane	Cellular Component
A0A1D8N8F7	nuclear envelope	Cellular Component
A0A1D8N8F7	cytosol	Cellular Component
A0A1D8N8F7	intracellular protein transport	Biological Process
A0A1D8N8F7	Ran GTPase binding	Molecular Function
A0A1D8N8F7	protein transporter activity	Molecular Function
A0A1D8NA79		
A0A1H6Q958	negative regulation of transcription by RNA polymerase II	Biological Process
A0A1H6Q958	core promoter binding	Molecular Function
A0A1H6Q958	chromatin binding	Molecular Function
A0A1H6Q958	transcription coactivator activity	Molecular Function
A0A1H6Q958	transcription corepressor activity	Molecular Function
A0A1H6Q958	negative regulation of transcription by RNA polymerase III	Biological Process
A0A1H6Q958	negative cofactor 2 complex	Cellular Component
A0A1H6Q958	regulation of RNA polymerase II transcriptional preinitiation complex assembly	Biological Process
A0A1H6Q958	protein heterodimerization activity	Molecular Function
A0A1H6Q958	positive regulation of transcription from RNA polymerase II promoter in response to heat stress	Biological Process
A0A1D8NLJ8	integral component of membrane	Cellular Component
A0A1H6Q902		
A0A1D8NLD3	nuclear chromosome	Cellular Component
A0A1D8NLD3	four-way junction DNA binding	Molecular Function
A0A1D8NLD3	Y-form DNA binding	Molecular Function
A0A1D8NLD3	heteroduplex DNA loop binding	Molecular Function
A0A1D8NLD3	double-strand/single-strand DNA junction binding	Molecular Function
A0A1D8NLD3	meiotic mismatch repair	Biological Process
A0A1D8NLD3	removal of nonhomologous ends	Biological Process
A0A1D8NLD3	damaged DNA binding	Molecular Function
A0A1D8NLD3	ATP binding	Molecular Function
A0A1D8NLD3	postreplication repair	Biological Process
A0A1D8NLD3	meiotic gene conversion	Biological Process
A0A1D8NLD3	gene conversion at mating-type locus	Biological Process
A0A1D8NLD3	DNA-dependent ATPase activity	Molecular Function
A0A1D8NLD3	chromatin silencing at silent mating-type cassette	Biological Process
A0A1D8NLD3	guanine/thymine mispair binding	Molecular Function
A0A1D8NLD3	single base insertion or deletion binding	Molecular Function
A0A1D8NLD3	MutSalpha complex	Cellular Component
A0A1D8NLD3	MutSbeta complex	Cellular Component
A0A1D8NLD3	interstrand cross-link repair	Biological Process
A0A1D8NLD3	replication fork arrest	Biological Process
A0A1D8NLD3	maintenance of DNA repeat elements	Biological Process
A0A1D8NLD3	negative regulation of reciprocal meiotic recombination	Biological Process
A0A1H6PZS2	integral component of membrane	Cellular Component
A0A1D8N3W2		
A0A1D8N710	oxidoreductase activity	Molecular Function
A0A1D8N710	oxidation-reduction process	Biological Process
A0A1D8NAA7	integral component of membrane	Cellular Component
A0A1D8NAU1		
A0A1D8NFV9	oligopeptide transport	Biological Process
A0A1D8NFV9	integral component of membrane	Cellular Component
A0A1D8NFV9	transmembrane transporter activity	Molecular Function
A0A1D8NFV9	transmembrane transport	Biological Process
A0A1D8N7S6	fungal-type vacuole	Cellular Component
A0A1D8N7S6	phospholipid-translocating ATPase activity	Molecular Function
A0A1D8N7S6	plasma membrane	Cellular Component
A0A1D8N7S6	response to stress	Biological Process
A0A1D8N7S6	integral component of membrane	Cellular Component
A0A1D8N7S6	phospholipid translocation	Biological Process
A0A1H6PT51	tRNA wobble uridine modification	Biological Process
A0A1H6PT51	Elongator holoenzyme complex	Cellular Component
A0A1D8N492		
A0A1D8NAE6		
A0A1D8NPR5	nucleus	Cellular Component
A0A1D8NPR5	"regulation of transcription, DNA-templated"	Biological Process
A0A1D8NPR5	metal ion binding	Molecular Function
A0A1H6PW45	nucleotide binding	Molecular Function
A0A1H6PW45	nuclear-transcribed mRNA poly(A) tail shortening	Biological Process
A0A1H6PW45	P-body	Cellular Component
A0A1H6PW45	mRNA binding	Molecular Function
A0A1H6PW45	protein transport	Biological Process
A0A1H6PW45	negative regulation of translation	Biological Process
A0A1H6PW45	translation repressor activity	Molecular Function
A0A1H6PW45	regulation of mRNA stability	Biological Process
A0A1H6PXA0		
A0A1H6PXT6	oxidoreductase activity	Molecular Function
A0A1H6PXT6	oxidation-reduction process	Biological Process
A0A1D8NN37	integral component of membrane	Cellular Component
A0A1D8NMN6	catalytic activity	Molecular Function
A0A1D8NMN6	coenzyme binding	Molecular Function
A0A1D8NH92		
A0A1D8NPR4	mitochondrial genome maintenance	Biological Process
A0A1D8NPR4	mitochondrion	Cellular Component
A0A1D8NPR4	protein targeting to membrane	Biological Process
A0A1D8NPR4	cellular ion homeostasis	Biological Process
A0A1D8NPR4	mitochondrial membrane organization	Biological Process
A0A1D8NPR4	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	Molecular Function
A0A1D8NPR4	cardiolipin synthase activity	Molecular Function
A0A1D8NPR4	integral component of membrane	Cellular Component
A0A1D8NPR4	cardiolipin biosynthetic process	Biological Process
A0A1D8NAA6		
A0A1D8NGK0	sulfur amino acid metabolic process	Biological Process
A0A1D8NGK0	adenylylsulfate kinase activity	Molecular Function
A0A1D8NGK0	ATP binding	Molecular Function
A0A1D8NGK0	phosphorylation	Biological Process
A0A1D8NGK0	"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"	Biological Process
A0A1D8NGK0	hydrogen sulfide biosynthetic process	Biological Process
A0A1D8NJC7	regulation of cyclin-dependent protein serine/threonine kinase activity	Biological Process
A0A1D8NJC7	protein kinase binding	Molecular Function
A0A1D8NJH1		
A0A1H6Q5V9	dolichol-linked oligosaccharide biosynthetic process	Biological Process
A0A1H6Q5V9	integral component of membrane	Cellular Component
A0A1D8N5K0		
A0A1H6Q0T5	nuclear chromatin	Cellular Component
A0A1H6Q0T5	cAMP-dependent protein kinase inhibitor activity	Molecular Function
A0A1H6Q0T5	cytoplasm	Cellular Component
A0A1H6Q0T5	plasma membrane	Cellular Component
A0A1H6Q0T5	cAMP-dependent protein kinase complex	Cellular Component
A0A1H6Q0T5	cAMP-dependent protein kinase regulator activity	Molecular Function
A0A1H6Q0T5	regulation of cytoplasmic mRNA processing body assembly	Biological Process
A0A1H6Q0T5	kinase activity	Molecular Function
A0A1H6Q0T5	cAMP binding	Molecular Function
A0A1H6Q0T5	positive regulation of transcription from RNA polymerase II promoter in response to nitrogen starvation	Biological Process
A0A1H6Q0T5	identical protein binding	Molecular Function
A0A1H6Q0T5	positive regulation of adenylate cyclase activity	Biological Process
A0A1H6Q0T5	negative regulation of Ras protein signal transduction	Biological Process
A0A1H6Q0T5	positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation	Biological Process
A0A1H6Q0T5	negative regulation of protein serine/threonine kinase activity	Biological Process
A0A1H6Q0T5	protein localization to bud neck	Biological Process
A0A1D8N7U2		
A0A1D8N3H1		
A0A1D8NDM6	septum digestion after cytokinesis	Biological Process
A0A1D8NDM6	protein binding	Molecular Function
A0A1D8NDM6	phospholipid binding	Molecular Function
A0A1D8NDM6	cellular bud neck	Cellular Component
A0A1D8NDM6	budding cell apical bud growth	Biological Process
A0A1D8NDM6	Rho protein signal transduction	Biological Process
A0A1D8NDM6	establishment of cell polarity	Biological Process
A0A1D8NDM6	intracellular part	Cellular Component
A0A1D8NEP9	metal ion binding	Molecular Function
A0A1D8NHD0	catalytic activity	Molecular Function
A0A1D8NHD0	protein-containing complex	Cellular Component
A0A1D8NM06	protein serine/threonine kinase activity	Molecular Function
A0A1D8NM06	ATP binding	Molecular Function
A0A1D8NM06	nucleus	Cellular Component
A0A1D8NM06	DNA repair	Biological Process
A0A1D8NM06	protein phosphorylation	Biological Process
A0A1D8NM06	protein-containing complex binding	Molecular Function
A0A1D8N9V8	5-aminolevulinate synthase activity	Molecular Function
A0A1D8N9V8	mitochondrial matrix	Cellular Component
A0A1D8N9V8	protoporphyrinogen IX biosynthetic process	Biological Process
A0A1D8N9V8	pyridoxal phosphate binding	Molecular Function
A0A1H6PX99	ribosomal large subunit assembly	Biological Process
A0A1H6PX99	"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
